n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
99,0.2368033989,-0.6199593469,0.4736067977,0.3831559480,13.1432778030,-34.4095480118,32.0976359430
100,0.1463525492,0.1463525492,-0.6199593469,0.6199593469,8.1229924058,8.1229924058,10.3630781176
101,0.2368033989,0.3831559480,-0.1463525492,-0.7663118961,13.1432778030,21.2662702088,-40.1787701990
102,0.6199593469,0.0000000000,0.5295084972,-0.3831559480,34.4095480118,0.0000000000,-2.0158629773
103,0.7663118961,-0.1463525492,0.3831559480,0.2368033989,42.5325404176,-8.1229924058,22.5499017475
104,0.3831559480,0.0000000000,-0.6199593469,0.5295084972,21.2662702088,0.0000000000,6.1386536205
105,0.7663118961,0.0000000000,0.0000000000,-0.4736067977,42.5325404176,0.0000000000,-22.1193738330
106,-0.7663118961,0.1463525492,0.3831559480,0.2368033989,-42.5325404176,8.1229924058,22.5499017475
107,-0.3831559480,-0.5295084972,0.0000000000,0.6199593469,-21.2662702088,-29.3892626146,28.9546362523
108,0.1463525492,0.7663118961,0.2368033989,0.3831559480,8.1229924058,42.5325404176,24.9962926394
109,-0.1463525492,0.6199593469,0.6199593469,-0.1463525492,-8.1229924058,34.4095480118,11.7562957153
110,-0.4736067977,-0.6199593469,0.3831559480,0.2368033989,-26.2865556060,-34.4095480118,22.5499017475
111,0.2368033989,0.8567627458,0.1463525492,0.0000000000,13.1432778030,47.5528258148,4.3888715274
112,0.7663118961,0.3831559480,0.2368033989,-0.1463525492,42.5325404176,21.2662702088,0.2660808843
113,0.3831559480,0.1463525492,0.2368033989,-0.7663118961,21.2662702088,8.1229924058,-28.6885553680
114,0.3831559480,-0.4736067977,0.6199593469,-0.2368033989,21.2662702088,-26.2865556060,7.5318712182
115,-0.3831559480,-0.4736067977,0.6199593469,0.2368033989,-21.2662702088,-26.2865556060,29.6512450511
116,0.0000000000,-0.1463525492,0.8567627458,0.2368033989,0.0000000000,-8.1229924058,36.7525883547
117,0.2368033989,0.0000000000,0.8567627458,-0.1463525492,13.1432778030,0.0000000000,18.8576390189
118,-0.3831559480,0.6199593469,-0.5295084972,0.0000000000,-21.2662702088,34.4095480118,-15.8790863584
119,0.4736067977,-0.6199593469,0.3831559480,-0.2368033989,26.2865556060,-34.4095480118,0.4305279146
120,0.2368033989,-0.3831559480,-0.1463525492,-0.7663118961,13.1432778030,-21.2662702088,-40.1787701990
121,-0.8567627458,0.0000000000,0.1463525492,-0.2368033989,-47.5528258148,0.0000000000,-6.6708153891
122,-0.1463525492,-0.7663118961,-0.2368033989,-0.3831559480,-8.1229924058,-42.5325404176,-24.9962926394
123,-0.2368033989,0.3831559480,-0.1463525492,0.7663118961,-13.1432778030,21.2662702088,31.4010271442
124,0.1463525492,0.1463525492,0.6199593469,-0.6199593469,8.1229924058,8.1229924058,-10.3630781176
125,0.1463525492,-0.3831559480,-0.7663118961,0.2368033989,8.1229924058,-21.2662702088,-11.9207427456
126,-0.1463525492,-0.8567627458,0.0000000000,-0.2368033989,-8.1229924058,-47.5528258148,-11.0596869165
127,-0.1463525492,0.6199593469,-0.1463525492,-0.6199593469,-8.1229924058,34.4095480118,-33.3435077797
128,0.3831559480,-0.2368033989,-0.7663118961,-0.1463525492,21.2662702088,-13.1432778030,-29.8156920814
129,0.0000000000,-0.7663118961,0.4736067977,0.0000000000,0.0000000000,-42.5325404176,14.2026866072
130,-0.1463525492,0.2368033989,-0.3831559480,-0.7663118961,-8.1229924058,13.1432778030,-47.2801135026
131,0.6199593469,0.1463525492,0.1463525492,-0.6199593469,34.4095480118,8.1229924058,-24.5657647249
132,-0.2368033989,0.1463525492,0.0000000000,0.8567627458,-13.1432778030,8.1229924058,40.0143231687
133,-0.3831559480,-0.7663118961,0.1463525492,-0.2368033989,-21.2662702088,-42.5325404176,-6.6708153891
134,0.2368033989,0.4736067977,-0.3831559480,0.6199593469,13.1432778030,26.2865556060,17.4644214212
135,-0.2368033989,-0.1463525492,0.0000000000,-0.8567627458,-13.1432778030,-8.1229924058,-40.0143231687
136,0.4736067977,0.6199593469,-0.3831559480,0.2368033989,26.2865556060,34.4095480118,-0.4305279146
137,0.8567627458,-0.1463525492,0.2368033989,0.0000000000,47.5528258148,-8.1229924058,7.1013433036
138,-0.1463525492,-0.6199593469,-0.1463525492,-0.6199593469,-8.1229924058,-34.4095480118,-33.3435077797
139,-0.7663118961,-0.2368033989,0.1463525492,0.3831559480,-42.5325404176,-13.1432778030,22.2838208632
140,-0.2368033989,-0.4736067977,0.3831559480,-0.6199593469,-13.1432778030,-26.2865556060,-17.4644214212
141,0.1463525492,0.1463525492,0.6199593469,0.6199593469,8.1229924058,8.1229924058,47.5461943869
142,-0.3831559480,-0.2368033989,0.4736067977,0.6199593469,-21.2662702088,-13.1432778030,43.1573228595
143,-0.1463525492,0.1463525492,-0.6199593469,-0.6199593469,-8.1229924058,8.1229924058,-47.5461943869
144,-0.4736067977,-0.6199593469,0.3831559480,-0.2368033989,-26.2865556060,-34.4095480118,0.4305279146
145,0.3831559480,-0.7663118961,-0.1463525492,0.2368033989,21.2662702088,-42.5325404176,6.6708153891
146,-0.6199593469,-0.6199593469,-0.1463525492,-0.1463525492,-34.4095480118,-34.4095480118,-11.2241339467
147,-0.2368033989,0.1463525492,0.7663118961,0.3831559480,-13.1432778030,8.1229924058,40.8753789979
148,-0.6199593469,0.6199593469,-0.1463525492,0.1463525492,-34.4095480118,34.4095480118,2.4463908919
149,-0.6199593469,-0.4736067977,-0.2368033989,0.3831559480,-34.4095480118,-26.2865556060,10.7936060322
150,-0.7663118961,0.4736067977,0.0000000000,0.0000000000,-42.5325404176,26.2865556060,0.0000000000
151,0.6199593469,0.0000000000,-0.5295084972,0.3831559480,34.4095480118,0.0000000000,2.0158629773
152,0.5295084972,-0.3831559480,-0.6199593469,0.0000000000,29.3892626146,-21.2662702088,-18.5915581346
153,0.2368033989,-0.8567627458,-0.1463525492,0.0000000000,13.1432778030,-47.5528258148,-4.3888715274
154,-0.3831559480,0.1463525492,-0.2368033989,0.7663118961,-21.2662702088,8.1229924058,28.6885553680
155,0.4736067977,0.2368033989,0.6199593469,-0.3831559480,26.2865556060,13.1432778030,0.6966087989
156,0.2368033989,-0.1463525492,-0.7663118961,0.3831559480,13.1432778030,-8.1229924058,-5.0854803263
157,0.6199593469,-0.2368033989,0.3831559480,0.4736067977,34.4095480118,-13.1432778030,33.6095886640
158,-0.4736067977,0.6199593469,-0.3831559480,0.2368033989,-26.2865556060,34.4095480118,-0.4305279146
159,0.3831559480,-0.1463525492,0.2368033989,0.7663118961,21.2662702088,-8.1229924058,42.8912419752
160,0.7663118961,0.0000000000,0.0000000000,0.4736067977,42.5325404176,0.0000000000,22.1193738330
161,-0.6199593469,-0.6199593469,0.1463525492,-0.1463525492,-34.4095480118,-34.4095480118,-2.4463908919
162,0.6199593469,0.2368033989,-0.3831559480,0.4736067977,34.4095480118,13.1432778030,10.6291590019
163,0.7663118961,0.2368033989,0.1463525492,-0.3831559480,42.5325404176,13.1432778030,-13.5060778084
164,0.4736067977,0.6199593469,-0.3831559480,-0.2368033989,26.2865556060,34.4095480118,-22.5499017475
165,0.8567627458,-0.2368033989,0.0000000000,-0.1463525492,47.5528258148,-13.1432778030,-6.8352624193
