p,dist,1/p,ap_a,ap_b_tr,ap_c_tr,max_ap,R,cos2pi_p,lemma41_pass,weil_ok
157,0.32300466,0.00636943,5,-22,21,22,0.877896,0.999199,True,True
163,0.20796025,0.00613497,-4,-2,30,30,1.174891,0.999257,False,True
167,0.46459731,0.00598802,4,0,-24,24,0.928588,0.999292,True,True
173,0.34955291,0.00578035,-8,-18,24,24,0.912343,0.999341,True,True
179,0.2345085,0.00558659,-15,12,9,15,0.560576,0.999384,True,True
181,0.13717297,0.00552486,7,-54,23,54,2.006894,0.999398,False,True
191,0.00441968,0.0052356,-15,12,-3,15,0.542681,0.999459,True,True
193,0.36726179,0.00518135,-24,44,66,66,2.375392,0.99947,False,True
197,0.11062472,0.00507614,-10,2,6,10,0.356235,0.999491,True,True
199,0.48230619,0.00502513,-4,-32,28,32,1.13421,0.999502,False,True
211,0.28760499,0.00473934,-24,6,6,24,0.826114,0.999557,True,True
223,0.05751618,0.0044843,5,28,-27,28,0.937509,0.999603,True,True
227,0.31415324,0.00440529,0,68,-24,68,2.256659,0.999617,False,True
229,0.05752823,0.00436681,9,-12,-29,29,0.958187,0.999624,True,True
233,0.19910883,0.00429185,-16,44,-10,44,1.441268,0.999636,False,True
239,0.08406442,0.0041841,-30,-8,-18,30,0.970269,0.999654,True,True
241,0.28761705,0.00414938,-10,36,-12,36,1.159482,0.99966,False,True
251,0.14602439,0.00398406,21,32,25,32,1.009911,0.999687,False,True
257,0.2610688,0.00389105,18,22,-14,22,0.686161,0.999701,True,True
263,0.37611321,0.00380228,-18,30,-52,52,1.603229,0.999715,False,True
269,0.49115762,0.00371747,-30,-66,6,66,2.012046,0.999727,False,True
271,0.13716091,0.00369004,28,44,4,44,1.336405,0.999731,False,True
277,0.0221165,0.00361011,26,16,60,60,1.802525,0.999743,False,True
281,0.27875357,0.00355872,18,-14,14,18,0.536895,0.99975,True,True
283,0.0929279,0.00353357,-30,-12,-42,42,1.24832,0.999754,False,True
293,0.04866475,0.00341297,14,-24,-24,24,0.701047,0.99977,True,True
307,0.44689447,0.00325733,0,-16,-20,20,0.57073,0.999791,True,True
311,0.29646847,0.00321543,8,-40,40,40,1.134096,0.999796,False,True
313,0.33185006,0.00319489,3,6,75,75,2.119625,0.999799,False,True
317,0.41151288,0.00315457,-1,34,-65,65,1.825382,0.999804,False,True
331,0.01328317,0.00302115,-11,-10,-21,21,0.577132,0.99982,True,True
