center_idx,angle,deviation
3,53.31475401033989,63.250297166738115
3,102.06206037554348,14.502990801534523
3,79.43168767200359,37.13336350507441
3,46.5386766178101,70.02637455926791
3,106.60008519247027,9.96496598460773
3,46.5386766178101,70.02637455926791
3,79.43168767200359,37.13336350507441
3,106.60008519247027,9.96496598460773
3,37.860303156887774,78.70474802019024
3,152.6877628965543,36.122711719476285
3,152.6877628965543,36.122711719476285
4,133.88726769721856,17.322216520140557
4,133.88726769721856,17.322216520140557
4,103.89166608322687,12.673385093851138
4,103.89166608322687,12.673385093851138
4,170.2310513736808,53.666000196602795
4,76.16920915047685,40.39584202660116
4,76.16920915047685,40.39584202660116
4,69.52311889717305,47.041932279904955
4,126.75762069053899,10.192569513460981
4,93.3300260337168,23.2350251433612
4,93.3300260337168,23.2350251433612
4,87.79833495448453,28.766716222593473
4,47.36862738932512,69.19642378775288
4,91.00825974506057,25.556791432017434
4,49.47021736078209,67.09483381629592
4,136.0022964946515,19.437245317573485
4,57.982617186873554,58.58243399020445
4,115.2538228976209,1.3112282794570973
4,55.088330546054586,61.47672063102342
4,132.34213807548835,15.777086898410346
4,53.08311446807124,63.48193670900677
4,91.00825974506057,25.556791432017434
4,47.36862738932512,69.19642378775288
4,49.47021736078209,67.09483381629592
4,57.982617186873554,58.58243399020445
4,136.0022964946515,19.437245317573485
4,115.2538228976209,1.3112282794570973
4,55.088330546054586,61.47672063102342
4,53.08311446807124,63.48193670900677
4,132.34213807548835,15.777086898410346
4,60.14165572198631,56.42339545509169
4,84.51810541991993,32.04694575715807
4,102.00327757561253,14.561773601465475
4,45.972856274185716,70.59219490289229
4,149.64269333543893,33.07764215836093
4,35.92349690371045,80.64155427336755
4,140.44501298514362,23.879961808065616
4,81.3858836708573,35.17916750622071
4,84.51810541991993,32.04694575715807
4,45.972856274185716,70.59219490289229
4,102.00327757561253,14.561773601465475
4,149.64269333543893,33.07764215836093
4,35.92349690371045,80.64155427336755
4,81.3858836708573,35.17916750622071
4,140.44501298514362,23.879961808065616
4,107.27733477803537,9.287716399042637
4,107.27733477803537,9.287716399042637
4,100.70793247650772,15.857118700570282
4,63.011327935780244,53.55372324129776
4,82.90700178179829,33.65804939527972
4,82.90700178179829,33.65804939527972
4,128.58973630672946,12.02468512965146
4,104.79839265614937,11.76665852092863
4,81.55272986788498,35.01232130919303
4,47.72169473499013,68.84335644208787
4,169.4396431359879,52.87459195890989
4,104.79839265614937,11.76665852092863
4,81.55272986788498,35.01232130919303
4,169.4396431359879,52.87459195890989
4,47.72169473499013,68.84335644208787
4,163.71926041228795,47.15420923520995
4,69.79512099932062,46.76993017775739
4,69.79512099932062,46.76993017775739
4,106.14020678583948,10.424844391238523
4,106.14020678583948,10.424844391238523
4,133.51013129702244,16.945080119944436
5,37.90388956618532,78.66116161089269
5,126.24372438403671,9.678673206958706
5,126.24372438403671,9.678673206958706
5,72.3661824505134,44.1988687265646
5,72.3661824505134,44.1988687265646
5,116.97811461381445,0.41306343673645074
5,116.97811461381445,0.41306343673645074
5,66.04388864069992,50.521162536378085
5,66.04388864069992,50.521162536378085
5,117.1959570896776,0.6309059125996015
5,58.30961708962812,58.255434087449885
5,103.62472944491651,12.940321732161493
5,103.62472944491651,12.940321732161493
5,58.71295919103631,57.85209198604169
5,58.71295919103631,57.85209198604169
5,131.54317621182747,14.978125034749468
5,131.54317621182747,14.978125034749468
5,76.61300337145579,39.952047805622215
5,76.61300337145579,39.952047805622215
5,79.29206752349228,37.272983653585726
5,26.890378060693806,89.6746731163842
5,91.04832123038963,25.516729946688372
5,127.20047633790969,10.635425160831687
5,53.88316668386276,62.68188449321524
5,52.458625047694554,64.10642612938345
5,116.5170008402269,0.04805033685110516
5,69.54730546278373,47.01774571429428
5,159.76581001209232,43.20075883501431
5,52.80259796571861,63.76245321135939
5,105.42097913517809,11.144072041899918
5,53.88316668386276,62.68188449321524
5,127.20047633790969,10.635425160831687
5,116.5170008402269,0.04805033685110516
5,52.458625047694554,64.10642612938345
5,159.76581001209232,43.20075883501431
5,69.54730546278373,47.01774571429428
5,52.80259796571861,63.76245321135939
5,76.76557280856208,39.79947836851592
5,113.58532012615426,2.9797310509237462
5,169.45969293454192,52.894641757463916
5,75.2331001598075,41.3319510172705
5,134.26437704591902,17.699325868841015
5,35.70884622240834,80.85620495466966
5,74.49213544081462,42.07291573626338
5,36.50569671099828,80.05935446607972
5,75.2331001598075,41.3319510172705
5,169.45969293454192,52.894641757463916
5,35.70884622240834,80.85620495466966
5,134.26437704591902,17.699325868841015
5,74.49213544081462,42.07291573626338
5,77.08241005252026,39.482641124557745
5,95.43293158499016,21.132119592087847
